ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000",PartOfCumulativeCountSeries
COVID-19,Unspecified,UNITED KINGDOM,2020-04-17,World Health Organization COVID-19 Dashboard,5070,"67,351,861",7.5276,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-18,World Health Organization COVID-19 Dashboard,5292,"67,351,861",7.8572,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-19,World Health Organization COVID-19 Dashboard,4977,"67,351,861",7.3896,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-20,World Health Organization COVID-19 Dashboard,4743,"67,351,861",7.0421,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-21,World Health Organization COVID-19 Dashboard,3881,"67,351,861",5.7623,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-22,World Health Organization COVID-19 Dashboard,4441,"67,351,861",6.5937,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-23,World Health Organization COVID-19 Dashboard,4795,"67,351,861",7.1193,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-24,World Health Organization COVID-19 Dashboard,5517,"67,351,861",8.1913,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-25,World Health Organization COVID-19 Dashboard,5167,"67,351,861",7.6717,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-26,World Health Organization COVID-19 Dashboard,4961,"67,351,861",7.3658,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-27,World Health Organization COVID-19 Dashboard,3757,"67,351,861",5.5782,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-28,World Health Organization COVID-19 Dashboard,3476,"67,351,861",5.161,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-29,World Health Organization COVID-19 Dashboard,4739,"67,351,861",7.0362,
COVID-19,Unspecified,UNITED KINGDOM,2020-04-30,World Health Organization COVID-19 Dashboard,4720,"67,351,861",7.008,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-01,World Health Organization COVID-19 Dashboard,5433,"67,351,861",8.0666,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-02,World Health Organization COVID-19 Dashboard,4961,"67,351,861",7.3658,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-03,World Health Organization COVID-19 Dashboard,4766,"67,351,861",7.0763,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-04,World Health Organization COVID-19 Dashboard,3258,"67,351,861",4.8373,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-05,World Health Organization COVID-19 Dashboard,3002,"67,351,861",4.4572,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-06,World Health Organization COVID-19 Dashboard,3398,"67,351,861",5.0451,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-07,World Health Organization COVID-19 Dashboard,3686,"67,351,861",5.4728,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-08,World Health Organization COVID-19 Dashboard,3832,"67,351,861",5.6895,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-09,World Health Organization COVID-19 Dashboard,3787,"67,351,861",5.6227,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-10,World Health Organization COVID-19 Dashboard,3064,"67,351,861",4.5492,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-11,World Health Organization COVID-19 Dashboard,2170,"67,351,861",3.2219,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-12,World Health Organization COVID-19 Dashboard,2337,"67,351,861",3.4698,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-13,World Health Organization COVID-19 Dashboard,3612,"67,351,861",5.3629,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-14,World Health Organization COVID-19 Dashboard,3410,"67,351,861",5.063,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-15,World Health Organization COVID-19 Dashboard,3330,"67,351,861",4.9442,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-16,World Health Organization COVID-19 Dashboard,2630,"67,351,861",3.9049,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-17,World Health Organization COVID-19 Dashboard,2530,"67,351,861",3.7564,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-18,World Health Organization COVID-19 Dashboard,2082,"67,351,861",3.0912,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-19,World Health Organization COVID-19 Dashboard,1837,"67,351,861",2.7275,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-20,World Health Organization COVID-19 Dashboard,2581,"67,351,861",3.8321,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-21,World Health Organization COVID-19 Dashboard,3063,"67,351,861",4.5478,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-22,World Health Organization COVID-19 Dashboard,2719,"67,351,861",4.037,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-23,World Health Organization COVID-19 Dashboard,2567,"67,351,861",3.8113,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-24,World Health Organization COVID-19 Dashboard,2057,"67,351,861",3.0541,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-25,World Health Organization COVID-19 Dashboard,1531,"67,351,861",2.2731,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-26,World Health Organization COVID-19 Dashboard,1373,"67,351,861",2.0385,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-27,World Health Organization COVID-19 Dashboard,1625,"67,351,861",2.4127,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-28,World Health Organization COVID-19 Dashboard,2070,"67,351,861",3.0734,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-29,World Health Organization COVID-19 Dashboard,1825,"67,351,861",2.7097,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-30,World Health Organization COVID-19 Dashboard,1757,"67,351,861",2.6087,
COVID-19,Unspecified,UNITED KINGDOM,2020-05-31,World Health Organization COVID-19 Dashboard,1531,"67,351,861",2.2731,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-01,World Health Organization COVID-19 Dashboard,1132,"67,351,861",1.6807,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-02,World Health Organization COVID-19 Dashboard,1080,"67,351,861",1.6035,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-03,World Health Organization COVID-19 Dashboard,1438,"67,351,861",2.1351,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-04,World Health Organization COVID-19 Dashboard,1492,"67,351,861",2.2152,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-05,World Health Organization COVID-19 Dashboard,1369,"67,351,861",2.0326,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-06,World Health Organization COVID-19 Dashboard,1249,"67,351,861",1.8544,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-07,World Health Organization COVID-19 Dashboard,1123,"67,351,861",1.6674,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-08,World Health Organization COVID-19 Dashboard,804,"67,351,861",1.1937,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-09,World Health Organization COVID-19 Dashboard,722,"67,351,861",1.072,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-10,World Health Organization COVID-19 Dashboard,1099,"67,351,861",1.6317,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-11,World Health Organization COVID-19 Dashboard,1165,"67,351,861",1.7297,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-12,World Health Organization COVID-19 Dashboard,1196,"67,351,861",1.7757,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-13,World Health Organization COVID-19 Dashboard,1013,"67,351,861",1.504,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-14,World Health Organization COVID-19 Dashboard,1053,"67,351,861",1.5634,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-15,World Health Organization COVID-19 Dashboard,886,"67,351,861",1.3155,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-16,World Health Organization COVID-19 Dashboard,826,"67,351,861",1.2264,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-17,World Health Organization COVID-19 Dashboard,1045,"67,351,861",1.5516,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-18,World Health Organization COVID-19 Dashboard,1103,"67,351,861",1.6377,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-19,World Health Organization COVID-19 Dashboard,1017,"67,351,861",1.51,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-20,World Health Organization COVID-19 Dashboard,1022,"67,351,861",1.5174,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-21,World Health Organization COVID-19 Dashboard,993,"67,351,861",1.4743,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-22,World Health Organization COVID-19 Dashboard,683,"67,351,861",1.0141,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-23,World Health Organization COVID-19 Dashboard,636,"67,351,861",0.9443,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-24,World Health Organization COVID-19 Dashboard,899,"67,351,861",1.3348,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-25,World Health Organization COVID-19 Dashboard,883,"67,351,861",1.311,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-26,World Health Organization COVID-19 Dashboard,777,"67,351,861",1.1536,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-27,World Health Organization COVID-19 Dashboard,726,"67,351,861",1.0779,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-28,World Health Organization COVID-19 Dashboard,666,"67,351,861",0.9888,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-29,World Health Organization COVID-19 Dashboard,653,"67,351,861",0.9695,
COVID-19,Unspecified,UNITED KINGDOM,2020-06-30,World Health Organization COVID-19 Dashboard,449,"67,351,861",0.6666,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-01,World Health Organization COVID-19 Dashboard,724,"67,351,861",1.075,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-02,World Health Organization COVID-19 Dashboard,623,"67,351,861",0.925,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-03,World Health Organization COVID-19 Dashboard,652,"67,351,861",0.9681,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-04,World Health Organization COVID-19 Dashboard,606,"67,351,861",0.8998,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-05,World Health Organization COVID-19 Dashboard,568,"67,351,861",0.8433,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-06,World Health Organization COVID-19 Dashboard,399,"67,351,861",0.5924,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-07,World Health Organization COVID-19 Dashboard,558,"67,351,861",0.8285,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-08,World Health Organization COVID-19 Dashboard,714,"67,351,861",1.0601,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-09,World Health Organization COVID-19 Dashboard,608,"67,351,861",0.9027,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-10,World Health Organization COVID-19 Dashboard,713,"67,351,861",1.0586,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-11,World Health Organization COVID-19 Dashboard,722,"67,351,861",1.072,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-12,World Health Organization COVID-19 Dashboard,568,"67,351,861",0.8433,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-13,World Health Organization COVID-19 Dashboard,459,"67,351,861",0.6815,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-14,World Health Organization COVID-19 Dashboard,366,"67,351,861",0.5434,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-15,World Health Organization COVID-19 Dashboard,740,"67,351,861",1.0987,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-16,World Health Organization COVID-19 Dashboard,705,"67,351,861",1.0467,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-17,World Health Organization COVID-19 Dashboard,777,"67,351,861",1.1536,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-18,World Health Organization COVID-19 Dashboard,712,"67,351,861",1.0571,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-19,World Health Organization COVID-19 Dashboard,582,"67,351,861",0.8641,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-20,World Health Organization COVID-19 Dashboard,505,"67,351,861",0.7498,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-21,World Health Organization COVID-19 Dashboard,448,"67,351,861",0.6652,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-22,World Health Organization COVID-19 Dashboard,830,"67,351,861",1.2323,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-23,World Health Organization COVID-19 Dashboard,788,"67,351,861",1.17,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-24,World Health Organization COVID-19 Dashboard,816,"67,351,861",1.2115,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-25,World Health Organization COVID-19 Dashboard,808,"67,351,861",1.1997,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-26,World Health Organization COVID-19 Dashboard,774,"67,351,861",1.1492,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-27,World Health Organization COVID-19 Dashboard,530,"67,351,861",0.7869,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-28,World Health Organization COVID-19 Dashboard,563,"67,351,861",0.8359,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-29,World Health Organization COVID-19 Dashboard,869,"67,351,861",1.2902,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-30,World Health Organization COVID-19 Dashboard,856,"67,351,861",1.2709,
COVID-19,Unspecified,UNITED KINGDOM,2020-07-31,World Health Organization COVID-19 Dashboard,1062,"67,351,861",1.5768,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-01,World Health Organization COVID-19 Dashboard,946,"67,351,861",1.4046,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-02,World Health Organization COVID-19 Dashboard,697,"67,351,861",1.0349,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-03,World Health Organization COVID-19 Dashboard,559,"67,351,861",0.83,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-04,World Health Organization COVID-19 Dashboard,564,"67,351,861",0.8374,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-05,World Health Organization COVID-19 Dashboard,1060,"67,351,861",1.5738,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-06,World Health Organization COVID-19 Dashboard,1065,"67,351,861",1.5812,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-07,World Health Organization COVID-19 Dashboard,1092,"67,351,861",1.6213,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-08,World Health Organization COVID-19 Dashboard,1105,"67,351,861",1.6406,
COVID-19,Unspecified,UNITED KINGDOM,2020-08-09,World Health Organization COVID-19 Dashboard,973,"67,351,861",1.4447,
